RefDes,X_mm,Y_mm,Rotation_deg,Functional_Group,Target,Placement_Method,Placement_Class,Authority,Status
C23,66.75,28.5,0,STORAGE,U3.9,FUNCTIONAL_REGION_GREEDY,UNLOCKED_LAYOUT_CANDIDATE,PCB-MAIN-PLACEMENT-REPACK-REV-A,ENGINEERING_CANDIDATE_NOT_FOR_MANUFACTURE
C24,68.5,30,0,STORAGE,U3.9,FUNCTIONAL_REGION_GREEDY,UNLOCKED_LAYOUT_CANDIDATE,PCB-MAIN-PLACEMENT-REPACK-REV-A,ENGINEERING_CANDIDATE_NOT_FOR_MANUFACTURE
C25,66.75,27.25,0,STORAGE,U3.10,FUNCTIONAL_REGION_GREEDY,UNLOCKED_LAYOUT_CANDIDATE,PCB-MAIN-PLACEMENT-REPACK-REV-A,ENGINEERING_CANDIDATE_NOT_FOR_MANUFACTURE
C26,67,38.5,0,STORAGE,U4.3,FUNCTIONAL_REGION_GREEDY,UNLOCKED_LAYOUT_CANDIDATE,PCB-MAIN-PLACEMENT-REPACK-REV-A,ENGINEERING_CANDIDATE_NOT_FOR_MANUFACTURE
C27,56.75,40.25,0,AUDIO,U7.1,FUNCTIONAL_REGION_GREEDY,UNLOCKED_LAYOUT_CANDIDATE,PCB-MAIN-PLACEMENT-REPACK-REV-A,ENGINEERING_CANDIDATE_NOT_FOR_MANUFACTURE
C28,62.75,40.25,0,AUDIO,U7.23,FUNCTIONAL_REGION_GREEDY,UNLOCKED_LAYOUT_CANDIDATE,PCB-MAIN-PLACEMENT-REPACK-REV-A,ENGINEERING_CANDIDATE_NOT_FOR_MANUFACTURE
C29,64.75,41.75,0,AUDIO,U7.24,FUNCTIONAL_REGION_GREEDY,UNLOCKED_LAYOUT_CANDIDATE,PCB-MAIN-PLACEMENT-REPACK-REV-A,ENGINEERING_CANDIDATE_NOT_FOR_MANUFACTURE
C30,50,42.5,0,AUDIO,U17.14,FUNCTIONAL_REGION_GREEDY,UNLOCKED_LAYOUT_CANDIDATE,PCB-MAIN-PLACEMENT-REPACK-REV-A,ENGINEERING_CANDIDATE_NOT_FOR_MANUFACTURE
C31,52.75,44.25,0,AUDIO,U18.1,FUNCTIONAL_REGION_GREEDY,UNLOCKED_LAYOUT_CANDIDATE,PCB-MAIN-PLACEMENT-REPACK-REV-A,ENGINEERING_CANDIDATE_NOT_FOR_MANUFACTURE
C32,54.5,44.25,0,AUDIO,U18.6,FUNCTIONAL_REGION_GREEDY,UNLOCKED_LAYOUT_CANDIDATE,PCB-MAIN-PLACEMENT-REPACK-REV-A,ENGINEERING_CANDIDATE_NOT_FOR_MANUFACTURE
C33,19,29.25,0,CELL,U16.1,FUNCTIONAL_REGION_GREEDY,UNLOCKED_LAYOUT_CANDIDATE,PCB-MAIN-PLACEMENT-REPACK-REV-A,ENGINEERING_CANDIDATE_NOT_FOR_MANUFACTURE
C34,19,28,0,CELL,U16.23,FUNCTIONAL_REGION_GREEDY,UNLOCKED_LAYOUT_CANDIDATE,PCB-MAIN-PLACEMENT-REPACK-REV-A,ENGINEERING_CANDIDATE_NOT_FOR_MANUFACTURE
C35,19.00,34.25,0,CELL,U16.24,FUNCTIONAL_REGION_GREEDY,UNLOCKED_LAYOUT_CANDIDATE,PCB-MAIN-PLACEMENT-REPACK-REV-A,ENGINEERING_CANDIDATE_NOT_FOR_MANUFACTURE
C36,32.75,34.5,180,CELL,U8,FUNCTIONAL_REGION_GREEDY,UNLOCKED_LAYOUT_CANDIDATE,PCB-MAIN-PLACEMENT-REPACK-REV-A,ENGINEERING_CANDIDATE_NOT_FOR_MANUFACTURE
C37,6.75,52.50,0,CELL,U8,FUNCTIONAL_REGION_GREEDY,UNLOCKED_LAYOUT_CANDIDATE,PCB-MAIN-PLACEMENT-REPACK-REV-A,ENGINEERING_CANDIDATE_NOT_FOR_MANUFACTURE
C38,6.75,51.00,0,CELL,U8,FUNCTIONAL_REGION_GREEDY,UNLOCKED_LAYOUT_CANDIDATE,PCB-MAIN-PLACEMENT-REPACK-REV-A,ENGINEERING_CANDIDATE_NOT_FOR_MANUFACTURE
C39,10,53.25,0,CELL,U8,FUNCTIONAL_REGION_GREEDY,UNLOCKED_LAYOUT_CANDIDATE,PCB-MAIN-PLACEMENT-REPACK-REV-A,ENGINEERING_CANDIDATE_NOT_FOR_MANUFACTURE
C40,10,49.5,0,CELL,U8,FUNCTIONAL_REGION_GREEDY,UNLOCKED_LAYOUT_CANDIDATE,PCB-MAIN-PLACEMENT-REPACK-REV-A,ENGINEERING_CANDIDATE_NOT_FOR_MANUFACTURE
C41,10,54.5,0,CELL,U8,FUNCTIONAL_REGION_GREEDY,UNLOCKED_LAYOUT_CANDIDATE,PCB-MAIN-PLACEMENT-REPACK-REV-A,ENGINEERING_CANDIDATE_NOT_FOR_MANUFACTURE
C42,38,55.5,0,CELL,U8,FUNCTIONAL_REGION_GREEDY,UNLOCKED_LAYOUT_CANDIDATE,PCB-MAIN-PLACEMENT-REPACK-REV-A,ENGINEERING_CANDIDATE_NOT_FOR_MANUFACTURE
C43,10,48.25,0,CELL,U8,FUNCTIONAL_REGION_GREEDY,UNLOCKED_LAYOUT_CANDIDATE,PCB-MAIN-PLACEMENT-REPACK-REV-A,ENGINEERING_CANDIDATE_NOT_FOR_MANUFACTURE
C44,32.75,29.25,0,CELL,U8,FUNCTIONAL_REGION_GREEDY,UNLOCKED_LAYOUT_CANDIDATE,PCB-MAIN-PLACEMENT-REPACK-REV-A,ENGINEERING_CANDIDATE_NOT_FOR_MANUFACTURE
C45,10,55.75,0,CELL,U8,FUNCTIONAL_REGION_GREEDY,UNLOCKED_LAYOUT_CANDIDATE,PCB-MAIN-PLACEMENT-REPACK-REV-A,ENGINEERING_CANDIDATE_NOT_FOR_MANUFACTURE
C46,38,56.75,0,CELL,U8,FUNCTIONAL_REGION_GREEDY,UNLOCKED_LAYOUT_CANDIDATE,PCB-MAIN-PLACEMENT-REPACK-REV-A,ENGINEERING_CANDIDATE_NOT_FOR_MANUFACTURE
C47,10,47,0,CELL,U8,FUNCTIONAL_REGION_GREEDY,UNLOCKED_LAYOUT_CANDIDATE,PCB-MAIN-PLACEMENT-REPACK-REV-A,ENGINEERING_CANDIDATE_NOT_FOR_MANUFACTURE
C48,19.00,35.50,0,CELL,Q1/U8,FUNCTIONAL_REGION_GREEDY,UNLOCKED_LAYOUT_CANDIDATE,PCB-MAIN-PLACEMENT-REPACK-REV-A,ENGINEERING_CANDIDATE_NOT_FOR_MANUFACTURE
C49,31.5,19,0,SIMCTRL,U13.8,FUNCTIONAL_REGION_GREEDY,UNLOCKED_LAYOUT_CANDIDATE,PCB-MAIN-PLACEMENT-REPACK-REV-A,ENGINEERING_CANDIDATE_NOT_FOR_MANUFACTURE
C50,15.00,16.50,0,SIM1,J6,FUNCTIONAL_REGION_GREEDY,UNLOCKED_LAYOUT_CANDIDATE,PCB-MAIN-PLACEMENT-REPACK-REV-A,ENGINEERING_CANDIDATE_NOT_FOR_MANUFACTURE
C51,58.00,16.50,0,SIM2,J7,FUNCTIONAL_REGION_GREEDY,UNLOCKED_LAYOUT_CANDIDATE,PCB-MAIN-PLACEMENT-REPACK-REV-A,ENGINEERING_CANDIDATE_NOT_FOR_MANUFACTURE
C52,16.75,16.50,0,SIM1,J6,FUNCTIONAL_REGION_GREEDY,UNLOCKED_LAYOUT_CANDIDATE,PCB-MAIN-PLACEMENT-REPACK-REV-A,ENGINEERING_CANDIDATE_NOT_FOR_MANUFACTURE
C53,59.75,16.50,0,SIM2,J7,FUNCTIONAL_REGION_GREEDY,UNLOCKED_LAYOUT_CANDIDATE,PCB-MAIN-PLACEMENT-REPACK-REV-A,ENGINEERING_CANDIDATE_NOT_FOR_MANUFACTURE
C54,18.50,16.50,0,SIM1,J6,FUNCTIONAL_REGION_GREEDY,UNLOCKED_LAYOUT_CANDIDATE,PCB-MAIN-PLACEMENT-REPACK-REV-A,ENGINEERING_CANDIDATE_NOT_FOR_MANUFACTURE
C55,20.25,16.50,180,SIM1,J6,FUNCTIONAL_REGION_GREEDY,UNLOCKED_LAYOUT_CANDIDATE,PCB-MAIN-PLACEMENT-REPACK-REV-A,ENGINEERING_CANDIDATE_NOT_FOR_MANUFACTURE
C56,22.00,16.50,180,SIM1,J6,FUNCTIONAL_REGION_GREEDY,UNLOCKED_LAYOUT_CANDIDATE,PCB-MAIN-PLACEMENT-REPACK-REV-A,ENGINEERING_CANDIDATE_NOT_FOR_MANUFACTURE
C57,61.50,16.50,0,SIM2,J7,FUNCTIONAL_REGION_GREEDY,UNLOCKED_LAYOUT_CANDIDATE,PCB-MAIN-PLACEMENT-REPACK-REV-A,ENGINEERING_CANDIDATE_NOT_FOR_MANUFACTURE
C58,63.25,16.50,180,SIM2,J7,FUNCTIONAL_REGION_GREEDY,UNLOCKED_LAYOUT_CANDIDATE,PCB-MAIN-PLACEMENT-REPACK-REV-A,ENGINEERING_CANDIDATE_NOT_FOR_MANUFACTURE
