vector_id,source,start_s,pcm_file,fundamental_hz,harmonic_count,harmonic_step_hz,harmonic_stability,average_energy,rms,zero_crossing_rate,spectral_centroid_hz,spectral_flatness,spectral_bandwidth_hz,noise_floor,high_band_energy_6_10khz,fundamental_variation,harmonic_variation,frequency_modulation_index,spectral_roughness,doppler_stability,mfcc_mean_0,mfcc_mean_1,mfcc_mean_2,mfcc_mean_3,mfcc_mean_4,mfcc_mean_5,mfcc_mean_6,mfcc_mean_7,mfcc_mean_8,mfcc_mean_9,mfcc_mean_10,mfcc_mean_11,mfcc_mean_12,mfcc_std_0,mfcc_std_1,mfcc_std_2,mfcc_std_3,mfcc_std_4,mfcc_std_5,mfcc_std_6,mfcc_std_7,mfcc_std_8,mfcc_std_9,mfcc_std_10,mfcc_std_11,mfcc_std_12
vec_000,derevenskaya-atmosfera-s-pticami-i-nasekomymi.wav,0.0,vec_000.bin,50.26989947145524,8.0,50.0,0.2944200839245602,0.020102903246879578,0.141784707380167,0.19336712549603174,5889.922896654874,0.1561225801706314,4658.123177338866,0.008905312535187405,0.06993409481340966,1.0,0.34927595069173273,1.0,0.21081201941828395,0.0,-68.26565551757812,38.64883804321289,9.963262557983398,17.054540634155273,9.613075256347656,14.15783977508545,9.758733749389648,10.896413803100586,5.425414562225342,10.735223770141602,6.0850443840026855,7.566950798034668,4.687273025512695,54.19200897216797,20.023284912109375,17.261877059936523,4.130497455596924,12.523245811462402,8.196907997131348,7.013992786407471,4.604304790496826,4.7741827964782715,3.3576760292053223,3.5487899780273438,3.933130979537964,4.036365509033203
vec_001,derevenskaya-atmosfera-s-pticami-i-nasekomymi.wav,11.5,vec_001.bin,454.322134131213,1.0,454.322134131213,0.6716299388261875,0.037512704730033875,0.1936819680043392,0.24065290178571427,3694.296103079274,0.005230995360761881,2718.378174092194,0.0017040022885505134,0.0005287530785026236,0.3519334692751388,0.0,1.0,0.19243189124339863,0.0,-152.2824249267578,101.84618377685547,-49.92425537109375,16.46891975402832,-16.121557235717773,-8.271476745605469,-6.677524089813232,14.660724639892578,-21.26734161376953,22.276277542114258,3.7615597248077393,-1.052742838859558,8.967148780822754,14.912696838378906,14.122440338134766,10.504584312438965,12.023690223693848,17.10234260559082,15.994346618652344,8.247983932495117,13.169511795043945,19.723403930664062,18.59233856201172,11.315851211547852,13.07770824432373,8.609665870666504
vec_002,derevenskaya-atmosfera-s-pticami-i-nasekomymi.wav,23.5,vec_002.bin,166.2252531141164,8.0,336.0,0.1663853253217299,0.03224557638168335,0.17957053316645064,0.1469184027777778,3560.6376164085586,0.021947337314486504,3325.3132841128872,0.020884844445276437,0.021197113636604627,0.7784029807665261,1.0,1.0,1.0,0.0,-12.061830520629883,99.96746063232422,-48.79368209838867,17.13775062561035,-31.304119110107422,8.172091484069824,-24.839902877807617,20.03266143798828,-23.294368743896484,18.639917373657227,-13.442239761352539,17.922712326049805,-7.2362060546875,12.940120697021484,11.791261672973633,13.476571083068848,11.526579856872559,8.33004379272461,9.731438636779785,10.497546195983887,11.02289867401123,8.594989776611328,6.293279647827148,9.288662910461426,7.617924690246582,5.718883514404297
vec_003,derevenskaya-atmosfera-s-pticami-i-nasekomymi.wav,35.5,vec_003.bin,222.45320052939195,5.0,881.5,0.3136993355976004,0.02665945515036583,0.1632772340235032,0.18198939732142858,3732.0872807923342,0.01836133562028408,2898.2720991341334,0.0033681559097400032,0.0016269871408518938,0.39548295793125837,1.0,1.0,0.33849509114842213,0.0,-134.12026977539062,91.24903106689453,-49.082054138183594,7.554786682128906,-7.500861167907715,-17.934425354003906,-13.95433235168457,23.87885284423828,-23.267732620239258,6.899449348449707,4.644598960876465,11.721819877624512,-10.437809944152832,36.37772750854492,21.500587463378906,20.921192169189453,18.87066078186035,19.792675018310547,17.68271255493164,15.05820083618164,28.03302574157715,22.98711395263672,16.093584060668945,14.91897964477539,17.94507598876953,12.470460891723633
vec_004,derevenskaya-atmosfera-s-pticami-i-nasekomymi.wav,47.5,vec_004.bin,207.08307355900064,5.0,527.0,0.16837229063453657,0.025320198386907578,0.15912321762366288,0.16041976686507936,3759.4168038568296,0.022353556007146835,3494.985635568996,0.017425913423692242,0.03834946849734959,0.7184319467380669,1.0,1.0,0.9616397147586323,0.0,-31.42403221130371,95.5659408569336,-36.9254264831543,10.040670394897461,-31.925487518310547,11.193140983581543,-17.725109100341797,7.71589469909668,-5.577236652374268,13.54942798614502,-10.177131652832031,16.93366241455078,-8.601218223571777,13.888239860534668,11.79243278503418,11.236432075500488,13.074440956115723,17.57206153869629,15.77365493774414,8.422723770141602,7.745065689086914,7.885777473449707,7.587096214294434,6.4074225425720215,6.220550537109375,8.640005111694336
vec_005,derevenskaya-atmosfera-s-pticami-i-nasekomymi.wav,59.5,vec_005.bin,64.63106590406589,14.0,195.0,0.11666666666666668,0.04829930141568184,0.21977102041825677,0.12544177827380953,3086.2631214674448,0.011803495697677135,3110.1612190089004,0.00849613653236036,0.014055538028728743,1.0,1.0,1.0,0.643235309400706,0.0,-10.864541053771973,120.47445678710938,-47.211814880371094,19.807653427124023,-34.19979476928711,9.292935371398926,-16.003196716308594,20.106904983520508,-25.701940536499023,29.19637680053711,-11.607621192932129,13.63001537322998,-6.7217020988464355,12.640007972717285,11.98471736907959,8.244558334350586,9.215036392211914,9.842997550964355,12.337506294250488,10.316359519958496,7.8678693771362305,12.002967834472656,7.450372219085693,8.79101276397705,8.543755531311035,6.60628604888916
vec_006,derevenskaya-atmosfera-s-pticami-i-nasekomymi.wav,71.5,vec_006.bin,46.42761781410889,34.0,137.0,0.2,0.06828973442316055,0.26132304610034024,0.10871620783730158,2956.8806165172714,0.01205492950975895,3115.574460073788,0.007193657860791229,0.008458206064687834,1.0,1.0,1.0,0.6033891577703949,0.0,11.846583366394043,122.25579833984375,-46.2850227355957,20.486757278442383,-32.92839431762695,13.997274398803711,-15.797176361083984,18.78319549560547,-17.920696258544922,29.712419509887695,-13.021190643310547,20.195112228393555,-5.894958019256592,5.496407985687256,6.939401626586914,7.5540266036987305,7.6755499839782715,5.583344459533691,5.922353267669678,5.000861644744873,5.577205657958984,6.272149562835693,6.0745697021484375,4.11793851852417,3.82392954826355,4.4598517417907715
vec_007,derevenskaya-atmosfera-s-pticami-i-nasekomymi.wav,83.5,vec_007.bin,486.9666985663423,3.0,477.0,0.7383763318843652,0.016002275049686432,0.12650009901057957,0.2975492931547619,4324.240532922484,0.009148415178060532,2931.762491727082,0.0025443131787655044,0.12984837887747053,0.19721939599677502,0.008214114048817358,0.7888775839871001,0.21960984202527337,0.013903020016124978,-176.06356811523438,95.55464935302734,-44.05840301513672,18.662078857421875,-26.80563735961914,-5.40711784362793,-6.665470600128174,19.329898834228516,-16.17349624633789,6.882352352142334,14.52651309967041,-4.669074535369873,5.951199054718018,17.636127471923828,16.01472282409668,20.193479537963867,18.83737564086914,14.495820999145508,23.63780975341797,15.849214553833008,18.9321231842041,22.940547943115234,19.827117919921875,14.267694473266602,14.82205867767334,17.877052307128906
vec_008,derevenskaya-atmosfera-s-pticami-i-nasekomymi.wav,95.0,vec_008.bin,437.48987734269645,7.0,464.0,0.3642186848937019,0.0318315289914608,0.17841392600203831,0.29148065476190477,4303.806167622389,0.006400059908628464,2710.0641203980554,0.003314242989727426,0.1522702439495175,0.32025477431029215,1.0,1.0,0.36234624880460253,0.0,-127.28816223144531,89.10675048828125,-43.38298416137695,25.404552459716797,-36.852840423583984,-9.560017585754395,10.164029121398926,-1.9464179277420044,-17.54191017150879,29.169967651367188,-9.518425941467285,2.4156603813171387,1.3539868593215942,15.392986297607422,18.840486526489258,9.55664348602295,12.780537605285645,17.055513381958008,17.504384994506836,12.157622337341309,18.12755012512207,26.01876449584961,20.372112274169922,10.282513618469238,12.624076843261719,15.618048667907715
vec_009,derevenskaya-atmosfera-s-pticami-i-nasekomymi.wav,107.0,vec_009.bin,483.7733218368349,1.0,483.7733218368349,0.7643410585866334,0.026917770504951477,0.16406636006491848,0.24703156001984128,3926.6543449213455,0.0016793962568044662,1946.0090246305538,0.0017926353826937054,0.0006965730276883738,0.14590875869637038,0.0,0.5836350347854815,0.4565948243795515,0.27045620651814817,-196.80609130859375,82.51618957519531,-58.72541046142578,43.822757720947266,-34.6718864440918,-27.674232482910156,19.825815200805664,8.975375175476074,-37.782588958740234,36.837703704833984,1.3777875900268555,-6.575819492340088,3.774944305419922,10.524993896484375,15.669910430908203,10.709118843078613,8.546151161193848,16.858142852783203,18.78099250793457,8.199178695678711,13.314347267150879,15.621989250183105,12.645062446594238,13.01425838470459,14.03365707397461,10.266468048095703
