Ref,Val,Package,PosX,PosY,Rot,Side
"J_MIC3","504050-0691","Molex_Pico-Lock_504050-0691_1x06-1MP_P1.50mm_Horizontal",92.000000,-71.205000,0.000000,top
"J_MIC4","504050-0691","Molex_Pico-Lock_504050-0691_1x06-1MP_P1.50mm_Horizontal",106.205000,-54.000000,90.000000,top
"J_PWR","43045-1202","Molex_43045-1202_MicroFit-12_RA",8.920000,-29.500000,90.000000,top
"L1","LQH32PN2R2NN0L","",52.000000,-19.750000,180.000000,top
"L2","LQW15AN27NJ00D","",59.750000,-70.250000,90.000000,top
"Q1","MMBT3904,215","Nexperia_MMBT3904_SOT23",15.000000,-32.000000,0.000000,top
"Q2","MMBT3904,215","Nexperia_MMBT3904_SOT23",18.000000,-32.000000,0.000000,top
"Q3","MMBT3904,215","Nexperia_MMBT3904_SOT23",27.500000,-18.000000,0.000000,top
"Q4","Si1016X-T1-GE3","Vishay_Si1016X_SC-89",61.000000,-65.000000,0.000000,top
"R1","ERJ-2RKF1002X","",61.750000,-28.500000,0.000000,top
"R2","ERJ-2RKF1003X","",61.750000,-31.500000,0.000000,top
"R3","ERJ-2RKF1003X","",61.750000,-27.250000,0.000000,top
"R5","ERJ-2RKF1003X","",42.250000,-25.250000,0.000000,top
"R7","ERJ-2RKF1002X","",69.000000,-31.500000,0.000000,top
"R8","ERJ-2RKF22R0X","",54.500000,-16.000000,0.000000,top
"R9","ERJ-2RKF22R0X","",58.500000,-20.750000,0.000000,top
"R10","ERJ-2RKF22R0X","",42.250000,-24.000000,0.000000,top
"R11","ERJ-2RKF22R0X","",56.750000,-19.500000,0.000000,top
"R12","ERJ-2RKF22R0X","",40.500000,-28.500000,0.000000,top
"R13","ERJ-2RKF2201X","",63.500000,-28.500000,0.000000,top
"R14","ERJ-2RKF2201X","",40.500000,-31.500000,0.000000,top
"R15","ERJ-2RKF22R0X","",63.500000,-31.500000,0.000000,top
"R16","ERJ-2RKF22R0X","",42.250000,-36.500000,180.000000,top
"R17","ERJ-2RKF22R0X","",59.750000,-40.250000,0.000000,top
"R18","ERJ-2RKF22R0X","",64.750000,-45.250000,0.000000,top
"R19","ERJ-2RKF1003X","",8.500000,-42.500000,0.000000,top
"R20","ERJ-2RKF1003X","",38.250000,-65.500000,0.000000,top
"R21","ERJ-2RKF1003X","",89.500000,-65.250000,0.000000,top
"R22","ERJ-2RKF1003X","",100.000000,-51.750000,0.000000,top
"R23","ERJ-2RKF1003X","",53.500000,-47.750000,180.000000,top
"R24","ERJ-2RKF4701X","",12.000000,-34.250000,0.000000,top
"R25","ERJ-2RKF4702X","",14.500000,-29.500000,0.000000,top
"R26","ERJ-2RKF4701X","",13.750000,-34.250000,0.000000,top
"R27","ERJ-2RKF4702X","",15.500000,-34.250000,0.000000,top
"R28","ERJ-2RKF1002X","",17.250000,-35.500000,0.000000,top
"R29","ERJ-2RKF1003X","",17.250000,-29.500000,0.000000,top
"R30","ERJ-2RKF1002X","",13.750000,-35.500000,0.000000,top
"R31","ERJ-2RKF1002X","",12.000000,-35.500000,0.000000,top
"R32","ERJ-2RKF1003X","",17.250000,-28.250000,0.000000,top
"R33","ERJ-2RKF1003X","",17.250000,-34.250000,0.000000,top
"R34","ERJ-2RKF1003X","",15.500000,-35.500000,0.000000,top
"R35","ERJ-2RKF1003X","",38.000000,-58.000000,0.000000,top
"R36","ERJ-2RKF22R0X","",10.000000,-45.750000,0.000000,top
"R37","ERJ-2RKF22R0X","",39.750000,-55.500000,0.000000,top
"R38","ERJ-2RKF1001X","",38.000000,-59.250000,0.000000,top
"R39","ERJ-2GE0R00X","",10.000000,-50.750000,180.000000,top
"R40","ERJ-2GE0R00X","",10.000000,-52.000000,180.000000,top
"R41","ERJ-2RKF1001X","",39.750000,-56.750000,0.000000,top
"R42","ERJ-2GE0R00X","",10.000000,-57.000000,0.000000,top
"R43","ERJ-2GE0R00X","",25.750000,-68.000000,180.000000,top
"R44","ERJ-2RKF4702X","",31.500000,-17.750000,180.000000,top
"R45","ERJ-2RKF1003X","",36.500000,-13.000000,180.000000,top
"R46","ERJ-2RKF1002X","",27.500000,-15.750000,0.000000,top
"R47","ERJ-2RKF1003X","",31.500000,-16.500000,0.000000,top
"R48","ERJ-2RKF1002X","",15.000000,-17.750000,180.000000,top
"R49","ERJ-2RKF1002X","",58.000000,-17.750000,180.000000,top
"R50","ERJ-2GE0R00X","",23.750000,-16.500000,0.000000,top
"R51","ERJ-2GE0R00X","",25.000000,-20.750000,0.000000,top
"R52","ERJ-2GE0R00X","",24.750000,-17.750000,180.000000,top
"R53","ERJ-2GE0R00X","",66.750000,-16.500000,0.000000,top
"R54","ERJ-2GE0R00X","",68.500000,-16.500000,0.000000,top
"R55","ERJ-2GE0R00X","",66.750000,-17.750000,180.000000,top
"R56","ERJ-2RKF22R0X","",47.250000,-56.750000,180.000000,top
"R57","ERJ-2RKF22R0X","",63.750000,-30.000000,0.000000,top
"R58","ERJ-2RKF22R0X","",47.250000,-59.250000,180.000000,top
"R59","ERJ-2GEJ561X","",61.000000,-59.750000,0.000000,top
"R60","ERJ-2GEJ104X","",48.500000,-65.000000,0.000000,top
"R61","ERJ-2GEJ104X","",49.000000,-51.500000,90.000000,top
"R62","ERJ-8GEYJ100V","",53.500000,-51.250000,0.000000,top
"R63","ERJ-2RKF1003X","",65.250000,-55.000000,180.000000,top
"R64","ERJ-2RKF1003X","",82.750000,-55.000000,0.000000,top
"R65","ERJ-2RKF1003X","",65.250000,-53.750000,0.000000,top
"R66","ERJ-2RKF1003X","",82.750000,-53.750000,0.000000,top
"R67","ERJ-2RKF1002X","",65.250000,-56.250000,180.000000,top
"R68","ERJ-2RKF1002X","",82.750000,-56.250000,180.000000,top
"R69","ERJ-2RKF22R0X","",40.500000,-27.250000,180.000000,top
"R70","ERJ-2RKF22R0X","",63.500000,-27.250000,0.000000,top
"R71","ERJ-2RKF22R0X","",40.500000,-32.750000,180.000000,top
"R72","ERJ-2RKF22R0X","",65.250000,-52.500000,180.000000,top
"R73","ERJ-2GE0R00X","",67.000000,-69.250000,0.000000,top
"R74","ERJ-2RKF22R0X","",102.250000,-41.750000,0.000000,top
"R75","ERJ-2RKF22R0X","",63.500000,-32.750000,0.000000,top
"R76","ERJ-2RKF1002X","",85.500000,-32.500000,0.000000,top
"R77","ERJ-2RKF1003X","",85.500000,-33.750000,0.000000,top
